Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 59942
[  5]  86.00-87.00  sec  2.08 MBytes  17.4 Mbits/sec  0.176 ms  221/1726 (13%)  
[  5]  87.00-88.00  sec  2.08 MBytes  17.4 Mbits/sec  0.213 ms  223/1730 (13%)  
[  5]  88.00-89.00  sec  2.08 MBytes  17.4 Mbits/sec  0.147 ms  220/1724 (13%)  
[  5]  89.00-90.00  sec  2.08 MBytes  17.4 Mbits/sec  0.184 ms  221/1726 (13%)  
[  5]  90.00-91.00  sec  2.08 MBytes  17.4 Mbits/sec  0.221 ms  223/1729 (13%)  
[  5]  91.00-92.00  sec  2.08 MBytes  17.4 Mbits/sec  0.152 ms  220/1725 (13%)  
[  5]  92.00-93.00  sec  2.08 MBytes  17.4 Mbits/sec  0.190 ms  221/1725 (13%)  
[  5]  93.00-94.00  sec  2.08 MBytes  17.4 Mbits/sec  0.226 ms  223/1729 (13%)  
[  5]  94.00-95.00  sec  2.08 MBytes  17.4 Mbits/sec  0.145 ms  220/1726 (13%)  
[  5]  95.00-96.00  sec  2.08 MBytes  17.4 Mbits/sec  0.183 ms  221/1725 (13%)  
[  5]  96.00-97.00  sec  2.08 MBytes  17.4 Mbits/sec  0.250.00  sec   122 KBytes   996 Kbits/sec  0.029 ms  0/86 (0%)  
[  5]  50.00-51.00  sec   122 KBytes   996 Kbits/sec  0.022 ms  0/86 (0%)  
[  5]  51.00-52.00  sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]  52.00-53.00  sec   123 KBytes  1.01 Mbits/sec  0.037 ms  0/87 (0%)  
[  5]  53.00-54.00  sec   122 KBytes   996 Kbits/sec  0.023 ms  0/86 (0%)  
[  5]  54.00-55.00  sec   122 KBytes   996 Kbits/sec  0.021 ms  0/86 (0%)  
[  5]  55.00-56.00  sec   123 KBytes  1.01 Mbits/sec  0.017 ms  0/87 (0%)  
[  5]  56.00-57.00  sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  57.00-58.00  sec   122 KBytes   996 Kbits/sec  0.019 ms  0/86 (0%)  
[  5]  58.00-59.00  sec   123 KBytes  1.01 Mbits/sec  0.033 ms  0/87 (0%)  
[  5]  59.00-60.00  sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  60.00-61.00  sec   122 KBytes   996 Kbits/sec  0.022 ms  0/86 (0%)  
[  5]  61.00-62.00  sec   123 KBytes  1.01 Mbits/sec  0.029 ms  0/87 (0%)  
[  5]  62.00-63.00  sec   122 KBytes   996 Kbits/sec  0.032 ms  0/86 (0%)  
[  5]  63.00-64.00  sec   122 KBytes   996 Kbits/sec  0.028 ms  0/86 (0%)  
[  5]  64.00-65.00  sec   123 KBytes  1.01 Mbits/sec  0.105 ms  0/87 (0%)  
[  5]  65.00-66.00  sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  66.00-67.00  sec   122 KBytes   996 Kbits/sec  0.040 ms  0/86 (0%)  
[  5]  67.00-68.00  sec   123 KBytes  1.01 Mbits/sec  0.020 ms  0/87 (0%)  
[  5]  68.00-69.00  sec   122 KBytes   996 Kbits/sec  0.026 ms  0/86 (0%)  
[  5]  69.00-70.00  sec   122 KBytes   996 Kbits/sec  0.025 ms  0/86 (0%)  
[  5]  70.00-71.00  sec   123 KBytes  1.01 Mbits/sec  0.027 ms  0/87 (0%)  
[  5]  71.00-72.00  sec   122 KBytes   996 Kbits/sec  0.041 ms  0/86 (0%)  
[  5]  72.00-73.00  sec   122 KBytes   996 Kbits/sec  0.023 ms  0/86 (0%)  
[  5]  73.00-74.00  sec   123 KBytes  1.01 Mbits/sec  0.021 ms  0/87 (0%)  
[  5]  74.00-75.00  sec   122 KBytes   996 Kbits/sec  0.018 ms  0/86 (0%)  
[  5]  75.00-76.00  sec   122 KBytes   996 Kbits/sec  0.029 ms  0/86 (0%)  
[  5]  76.00-77.00  sec   123 KBytes  1.01 Mbits/sec  0.030 ms  0/87 (0%)  
[  5]  77.00-78.00  sec   122 KBytes   996 Kbits/sec  0.020 ms  0/86 (0%)  
[  5]  78.00-79.00  sec   122 KBytes   996 Kbits/sec  0.026 ms  0/86 (0%)  
[  5]  79.00-80.00  sec   123 KBytes  1.01 Mbits/sec  0.024 ms  0/87 (0%)  
[  5]  80.00-81.00  sec   122 KBytes   996 Kbits/sec  0.022 ms  0/86 (0%)  
[  5]  81.00-82.00  sec   122 KBytes   996 Kbits/sec  0.018 ms  0/86 (0%)  
[  5]  82.00-83.00  sec   123 KBytes  1.01 Mbits/sec  0.033 ms  0/87 (0%)  
[  5]  83.00-84.00  sec   122 KBytes   996 Kbits/sec  0.034 ms  0/86 (0%)  
[  5]  84.00-85.00  sec   122 KBytes   996 Kbits/sec  0.032 ms  0/86 (0%)  
[  5]  85.00-86.00  sec   123 KBytes  1.01 Mbits/sec  0.028 ms  0/87 (0%)  
[  5]  86.00-87.00  sec   122 KBytes   996 Kbits/sec  0.039 ms  0/86 (0%)  
[  5]  87.00-88.00  sec   122 KBytes   996 Kbits/sec  0.032 ms  0/86 (0%)  
[  5]  88.00-89.00  sec   123 KBytes  1.01 Mbits/sec  0.016 ms  0/87 (0%)  
[  5]  89.00-90.00  sec   122 KBytes   996 Kbits/sec  0.027 ms  0/86 (0%)  
[  5]  90.00-91.00  sec   122 KBytes   996 Kbits/sec  0.018 ms  0/86 (0%)  
[  5]  91.00-92.00  sec   123 KBytes  1.01 Mbits/sec  0.032 ms  0/87 (0%)  
[  5]  92.00-93.00  sec   122 KBytes   996 Kbits/sec  0.014 ms  0/86 (0%)  
[  5]  93.00-94.00  sec   122 KBytes   996 Kbits/sec  0.019 ms  0/86 (0%)  
[  5]  94.00-95.00  sec   122 KBytes   996 Kbits/sec  0.033 ms  0/86 (0%)  
[  5]  95.00-96.00  sec   123 KBytes  1.01 Mbits/sec  0.031 ms  0/87 (0%)  
[  5]  96.00-97.00  sec   122 KBytes   996 Kbits/sec  0.030 ms  0/86 (0%)  
[  5]  97.00-98.00  sec   122 KBytes   996 Kbits/sec  0.021 ms  0/86 (0%)  
[  5]  98.00-99.00  sec   123 KBytes  1.01 Mbits/sec  0.017 ms  0/87 (0%)  
[  5]  99.00-100.00 sec   122 KBytes   996 Kbits/sec  0.021 ms  0/86 (0%)  
[  5] 100.00-101.00 sec   122 KBytes   996 Kbits/sec  0.019 ms  0/86 (0%)  
[  5] 101.00-102.00 sec   123 KBytes  1.01 Mbits/sec  0.032 ms  0/87 (0%)  
