Starting iperf3 server on port 5201...
Starting iperf3 server on port 5202...
Starting iperf3 server on port 5203...
Starting iperf3 server on port 5204...
Starting iperf3 server on port 5205...
All iperf3 servers are running. Press Ctrl-C to stop them.
-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 192.168.4.2, port 39114
[  5]  74.00-75.00  sec  1.84 MBytes  15.4 Mbits/sec  0.304 ms  395/1728 (23%)  
[  5]  75.00-76.00  sec  1.84 MBytes  15.4 Mbits/sec  0.367 ms  395/1728 (23%)  
[  5]  76.00-77.00  sec  1.84 MBytes  15.4 Mbits/sec  0.358 ms  392/1723 (23%)  
[  5]  77.00-78.00  sec  1.84 MBytes  15.5 Mbits/sec  0.307 ms  395/1729 (23%)  
[  5]  78.00-79.00  sec  1.84 MBytes  15.4 Mbits/sec  0.386 ms  395/1727 (23%)  
[  5]  79.00-80.00  sec  1.84 MBytes  15.4 Mbits/sec  0.328 ms  392/1725 (23%)  
[  5]  80.00-81.00  sec  1.84 MBytes  15.4 Mbits/sec  0.277 ms  395/1728 (23%)  
[  5]  81.00-82.00  sec  1.84 MBytes  15.4 Mbits/sec  0.374 ms  395/1727 (23%)  
[  5]  82.00-83.00  sec  1.84 MBytes  15.4 Mbits/sec  0.349 ms  392/1724 (23%)  
[  5]  83.00-84.00  sec  1.84 MBytes  15.4 Mbits/sec  0.324 ms  395/1728 (23%)  
[  5]  84.00-85.00  sec  1.84 MBytes  15.4 Mbits/sec  0.403 ms  395/1727 (23%)  
[  5]  85.00-86.00  sec  1.84 MBytes  15.4 Mbits/sec  0.290 ms  392/1724 (23%)  
[  5]  86.00-87.00  sec  1.84 MBytes  15.5 Mbits/sec  0.321 ms  395/1729 (23%)  
[  5]  87.00-88.00  sec  1.84 MBytes  15.4 Mbits/sec  0.382 ms  395/1727 (23%)  
[  5]  88.00-89.00  sec  1.84 MBytes  15.4 Mbits/sec  0.296 ms  392/1724 (23%)  
[  5]  89.00-90.00  sec  1.84 MBytes  15.4 Mbits/sec  0.332 ms  395/1728 (23%)  
[  5]  90.00-91.00  sec  1.84 MBytes  15.4 Mbits/sec  0.337 ms  393/1725 (23%)  
[  5]  91.00-92.00  sec  1.84 MBytes  15.4 Mbits/sec  0.295 ms  394/1727 (23%)  
[  5]  92.00-93.00  sec  1.84 MBytes  15.4 Mbits/sec  0.330 ms  395/1728 (23%)  
[  5]  93.00-94.00  sec  1.84 MBytes  15.4 Mbits/sec  0.335 ms  393/1725 (23%)  
[  5]  94.00-95.00  sec  1.84 MBytes  15.4 Mbits/sec  0.347 ms  395/1728 (23%)  
[  5]  95.00-96.00  sec  1.84 MBytes  15.4 Mbits/sec  0.370 ms  394/1726 (23%)  
[  5]  96.00-97.00  sec  1.84 MBytes  15.4 Mbits/sec  0.39 Mbits/sec  0.169 ms  0/172 (0%)  
[  5]  49.00-50.00  sec   245 KBytes  2.00 Mbits/sec  0.230 ms  0/173 (0%)  
[  5]  50.00-51.00  sec   245 KBytes  2.00 Mbits/sec  0.238 ms  0/173 (0%)  
[  5]  51.00-52.00  sec   243 KBytes  1.99 Mbits/sec  0.245 ms  0/172 (0%)  
[  5]  52.00-53.00  sec   245 KBytes  2.00 Mbits/sec  0.242 ms  0/173 (0%)  
[  5]  53.00-54.00  sec   245 KBytes  2.00 Mbits/sec  0.134 ms  0/173 (0%)  
[  5]  54.00-55.00  sec   243 KBytes  1.99 Mbits/sec  0.173 ms  0/172 (0%)  
[  5]  55.00-56.00  sec   245 KBytes  2.00 Mbits/sec  0.237 ms  0/173 (0%)  
[  5]  56.00-57.00  sec   245 KBytes  2.00 Mbits/sec  0.290 ms  0/173 (0%)  
[  5]  57.00-58.00  sec   243 KBytes  1.99 Mbits/sec  0.234 ms  0/172 (0%)  
[  5]  58.00-59.00  sec   245 KBytes  2.00 Mbits/sec  0.086 ms  0/173 (0%)  
[  5]  59.00-60.00  sec   245 KBytes  2.00 Mbits/sec  0.242 ms  0/173 (0%)  
[  5]  60.00-61.00  sec   243 KBytes  1.99 Mbits/sec  0.246 ms  0/172 (0%)  
[  5]  61.00-62.00  sec   245 KBytes  2.00 Mbits/sec  0.281 ms  0/173 (0%)  
[  5]  62.00-63.00  sec   245 KBytes  2.00 Mbits/sec  0.293 ms  0/173 (0%)  
[  5]  63.00-64.00  sec   243 KBytes  1.99 Mbits/sec  0.201 ms  0/172 (0%)  
[  5]  64.00-65.00  sec   245 KBytes  2.00 Mbits/sec  0.215 ms  0/173 (0%)  
[  5]  65.00-66.00  sec   245 KBytes  2.00 Mbits/sec  0.274 ms  0/173 (0%)  
[  5]  66.00-67.00  sec   243 KBytes  1.99 Mbits/sec  0.255 ms  0/172 (0%)  
[  5]  67.00-68.00  sec   245 KBytes  2.00 Mbits/sec  0.279 ms  0/173 (0%)  
[  5]  68.00-69.00  sec   243 KBytes  1.99 Mbits/sec  0.296 ms  0/172 (0%)  
[  5]  69.00-70.00  sec   245 KBytes  2.00 Mbits/sec  0.284 ms  0/173 (0%)  
[  5]  70.00-71.00  sec   245 KBytes  2.00 Mbits/sec  0.222 ms  0/173 (0%)  
[  5]  71.00-72.00  sec   243 KBytes  1.99 Mbits/sec  0.345 ms  0/172 (0%)  
[  5]  72.00-73.00  sec   245 KBytes  2.00 Mbits/sec  0.228 ms  0/173 (0%)  
[  5]  73.00-74.00  sec   245 KBytes  2.00 Mbits/sec  0.256 ms  0/173 (0%)  
[  5]  74.00-75.00  sec   243 KBytes  1.99 Mbits/sec  0.246 ms  0/172 (0%)  
[  5]  75.00-76.00  sec   245 KBytes  2.00 Mbits/sec  0.235 ms  0/173 (0%)  
[  5]  76.00-77.00  sec   245 KBytes  2.00 Mbits/sec  0.228 ms  0/173 (0%)  
[  5]  77.00-78.00  sec   243 KBytes  1.99 Mbits/sec  0.240 ms  0/172 (0%)  
[  5]  78.00-79.00  sec   245 KBytes  2.00 Mbits/sec  0.257 ms  0/173 (0%)  
[  5]  79.00-80.00  sec   245 KBytes  2.00 Mbits/sec  0.240 ms  0/173 (0%)  
[  5]  80.00-81.00  sec   243 KBytes  1.99 Mbits/sec  0.242 ms  0/172 (0%)  
[  5]  81.00-82.00  sec   245 KBytes  2.00 Mbits/sec  0.264 ms  0/173 (0%)  
[  5]  82.00-83.00  sec   245 KBytes  2.00 Mbits/sec  0.228 ms  0/173 (0%)  
[  5]  83.00-84.00  sec   243 KBytes  1.99 Mbits/sec  0.279 ms  0/172 (0%)  
[  5]  84.00-85.00  sec   245 KBytes  2.00 Mbits/sec  0.246 ms  0/173 (0%)  
[  5]  85.00-86.00  sec   245 KBytes  2.00 Mbits/sec  0.230 ms  0/173 (0%)  
[  5]  86.00-87.00  sec   243 KBytes  1.99 Mbits/sec  0.324 ms  0/172 (0%)  
[  5]  87.00-88.00  sec   245 KBytes  2.00 Mbits/sec  0.237 ms  0/173 (0%)  
[  5]  88.00-89.00  sec   243 KBytes  1.99 Mbits/sec  0.298 ms  0/172 (0%)  
[  5]  89.00-90.00  sec   245 KBytes  2.00 Mbits/sec  0.328 ms  0/173 (0%)  
[  5]  90.00-91.00  sec   245 KBytes  2.00 Mbits/sec  0.332 ms  0/173 (0%)  
[  5]  91.00-92.00  sec   243 KBytes  1.99 Mbits/sec  0.262 ms  0/172 (0%)  
[  5]  92.00-93.00  sec   245 KBytes  2.00 Mbits/sec  0.437 ms  0/173 (0%)  
[  5]  93.00-94.00  sec   245 KBytes  2.00 Mbits/sec  0.520 ms  0/173 (0%)  
[  5]  94.00-95.00  sec   243 KBytes  1.99 Mbits/sec  0.239 ms  0/172 (0%)  
[  5]  95.00-96.00  sec   245 KBytes  2.00 Mbits/sec  0.222 ms  0/173 (0%)  
[  5]  96.00-97.00  sec   245 KBytes  2.00 Mbits/sec  0.267 ms  0/173 (0%)  
[  5]  97.00-98.00  sec   243 KBytes  1.99 Mbits/sec  0.248 ms  0/172 (0%)  
[  5]  98.00-99.00  sec   245 KBytes  2.00 Mbits/sec  0.249 ms  0/173 (0%)  
